time_ps,potential,temperature,pressure,constr._rmsd,box-x,box-z,density
370.000000,-1009917.812500000,310.976990000,-203.437027000,0.000004000,9.234962000,12.318118000,1017.931091000
372.000000,-1008183.062500000,310.176300000,-237.034683000,0.000004000,9.231713000,12.304921000,1019.739929000
374.000000,-1008907.437500000,310.928741000,-11.619720000,0.000004000,9.230343000,12.308348000,1019.758850000
376.000000,-1007710.062500000,311.099976000,134.970352000,0.000004000,9.227853000,12.311413000,1020.055237000
378.000000,-1009729.812500000,309.313904000,13.980205000,0.000004000,9.225694000,12.316015000,1020.151306000
380.000000,-1009455.250000000,310.145966000,5.658279000,0.000004000,9.230851000,12.311555000,1019.380920000
382.000000,-1009650.500000000,309.807709000,26.191996000,0.000004000,9.217729000,12.317335000,1021.805603000
384.000000,-1009568.937500000,308.646637000,-55.709442000,0.000004000,9.221660000,12.323760000,1020.402405000
386.000000,-1009549.562500000,308.543457000,173.904053000,0.000004000,9.222550000,12.324246000,1020.165100000
388.000000,-1007452.375000000,310.191772000,143.852356000,0.000004000,9.228222000,12.313568000,1019.795166000
390.000000,-1008123.875000000,309.602448000,45.817547000,0.000004000,9.227056000,12.328157000,1018.845703000
392.000000,-1007219.312500000,311.585693000,25.844040000,0.000004000,9.229670000,12.334141000,1017.774841000
394.000000,-1006114.750000000,310.178040000,201.686813000,0.000004000,9.224429000,12.324465000,1019.731384000
396.000000,-1008482.125000000,311.164764000,-28.901901000,0.000004000,9.221847000,12.337889000,1019.192566000
398.000000,-1008744.000000000,309.648926000,-27.594358000,0.000004000,9.212681000,12.335163000,1021.447266000
400.000000,-1008301.250000000,311.209595000,-86.229698000,0.000004000,9.220401000,12.334068000,1019.828064000
402.000000,-1007904.812500000,309.266296000,21.489527000,0.000004000,9.223612000,12.326036000,1019.782227000
404.000000,-1009778.187500000,309.006653000,38.895939000,0.000004000,9.216701000,12.320375000,1021.781433000
406.000000,-1008615.250000000,309.674164000,-72.658546000,0.000004000,9.216537000,12.323158000,1021.587097000
408.000000,-1008103.562500000,313.001007000,38.060822000,0.000004000,9.222113000,12.319191000,1020.680603000
410.000000,-1007143.000000000,311.244354000,167.531174000,0.000004000,9.222124000,12.327943000,1019.953552000
412.000000,-1007399.562500000,310.290558000,-37.307957000,0.000004000,9.224225000,12.330263000,1019.297058000
414.000000,-1006064.312500000,310.388672000,-4.377467000,0.000004000,9.226229000,12.326882000,1019.133728000
416.000000,-1006605.937500000,309.876770000,-3.926030000,0.000004000,9.233611000,12.329923000,1017.253906000
418.000000,-1005293.187500000,313.054077000,-12.924405000,0.000004000,9.236139000,12.318358000,1017.651672000
420.000000,-1005180.187500000,311.689758000,239.300613000,0.000004000,9.236137000,12.324956000,1017.107178000
422.000000,-1004992.062500000,312.394043000,160.980240000,0.000004000,9.234778000,12.330026000,1016.988281000
424.000000,-1006340.312500000,312.081177000,64.859077000,0.000004000,9.231373000,12.328339000,1017.878113000
426.000000,-1008093.875000000,311.685608000,202.150574000,0.000004000,9.228682000,12.320457000,1019.123291000
428.000000,-1007138.625000000,309.929382000,-68.574562000,0.000004000,9.227896000,12.324983000,1018.922668000
430.000000,-1004513.625000000,310.565155000,-52.141998000,0.000004000,9.231967000,12.335209000,1017.180176000
432.000000,-1003451.750000000,312.166504000,92.508873000,0.000004000,9.233172000,12.335074000,1016.925720000
434.000000,-1008236.312500000,310.659058000,-52.139313000,0.000004000,9.231364000,12.341173000,1016.821411000
436.000000,-1006902.250000000,310.834106000,200.718307000,0.000004000,9.228557000,12.332806000,1018.130432000
438.000000,-1008418.125000000,308.861176000,79.229004000,0.000004000,9.222445000,12.345271000,1018.451050000
440.000000,-1006968.625000000,310.542328000,3.965069000,0.000004000,9.221030000,12.357825000,1017.728638000
442.000000,-1007147.062500000,309.183533000,-115.514992000,0.000004000,9.220110000,12.363882000,1017.432983000
444.000000,-1010899.375000000,310.169830000,-102.324097000,0.000004000,9.211950000,12.365094000,1019.136353000
446.000000,-1006107.562500000,310.126129000,21.974823000,0.000004000,9.223439000,12.351378000,1017.727905000
448.000000,-1006128.687500000,309.411102000,-125.784492000,0.000004000,9.221303000,12.343599000,1018.841125000
450.000000,-1008103.625000000,309.086700000,12.951314000,0.000004000,9.227765000,12.340412000,1017.677551000
452.000000,-1007760.562500000,309.744843000,-44.198261000,0.000004000,9.224709000,12.336677000,1018.660461000
454.000000,-1006777.375000000,309.692596000,4.374400000,0.000004000,9.228588000,12.328287000,1018.496643000
456.000000,-1007739.687500000,308.970184000,-24.582014000,0.000004000,9.229000000,12.316890000,1019.348145000
458.000000,-1009113.937500000,308.886597000,-55.603607000,0.000004000,9.228125000,12.322490000,1019.078247000
460.000000,-1008682.125000000,308.227142000,7.590009000,0.000004000,9.227917000,12.307852000,1020.336182000
462.000000,-1007253.500000000,309.590942000,-40.423313000,0.000004000,9.228493000,12.310514000,1019.988220000
464.000000,-1008157.437500000,310.567383000,-119.303284000,0.000004000,9.242107000,12.306841000,1017.288879000
466.000000,-1006188.625000000,310.898895000,274.080963000,0.000004000,9.240707000,12.304334000,1017.804504000
468.000000,-1006596.000000000,310.530914000,-13.903366000,0.000004000,9.239577000,12.300839000,1018.342651000
470.000000,-1006599.687500000,310.241211000,170.166214000,0.000004000,9.235112000,12.294971000,1019.814148000
472.000000,-1009176.812500000,309.459503000,-2.302434000,0.000004000,9.239159000,12.299227000,1018.568542000
474.000000,-1009077.562500000,311.004028000,159.602295000,0.000004000,9.243907000,12.295820000,1017.804321000
476.000000,-1007641.250000000,311.777100000,91.156075000,0.000004000,9.244663000,12.297908000,1017.465027000
478.000000,-1008079.062500000,309.192230000,-5.678523000,0.000004000,9.253111000,12.288409000,1016.393005000
480.000000,-1006943.187500000,311.899017000,7.868178000,0.000004000,9.252437000,12.284952000,1016.827271000
482.000000,-1004053.937500000,311.412598000,74.789581000,0.000004000,9.251803000,12.276241000,1017.688049000
484.000000,-1007682.437500000,311.033539000,-74.574066000,0.000004000,9.248235000,12.272111000,1018.816467000
486.000000,-1006483.437500000,310.824768000,188.244141000,0.000004000,9.244842000,12.285388000,1018.462524000
488.000000,-1007635.875000000,310.475494000,81.178253000,0.000004000,9.250557000,12.296914000,1016.250977000
490.000000,-1007575.000000000,310.564117000,-5.864156000,0.000004000,9.245123000,12.304599000,1016.810547000
492.000000,-1008507.187500000,307.731018000,-67.504150000,0.000004000,9.239494000,12.294320000,1018.900940000
494.000000,-1008526.250000000,309.169678000,-37.213642000,0.000004000,9.242786000,12.290124000,1018.522949000
496.000000,-1008803.562500000,309.907104000,-83.825516000,0.000004000,9.240544000,12.283083000,1019.601318000
498.000000,-1007630.562500000,308.730713000,-198.455566000,0.000004000,9.240862000,12.277878000,1019.963501000
500.000000,-1008380.437500000,310.194824000,34.520203000,0.000004000,9.236159000,12.286180000,1020.312439000
